company_name,high,low,last_price,prev_close,change,percent_gain
Eicher Motors,"2,632.05","2,551.00","2,625.85","2,521.85",104,4.12
M&M,874.80,853.00,871.70,849.00,22.7,2.67
ITC,226.80,224.00,225.90,222.45,3.45,1.55
Bajaj Auto,"3,759.00","3,718.50","3,754.80","3,698.40",56.4,1.52
IOC,135.00,133.55,134.55,132.55,2,1.51
Divis Labs,"5,225.00","5,170.10","5,211.90","5,140.15",71.75,1.4
Hero Motocorp,"2,677.00","2,650.00","2,673.60","2,641.45",32.15,1.22
Larsen,"1,920.85","1,900.00","1,910.95","1,889.50",21.45,1.14
BPCL,420.25,418.10,419.50,414.90,4.6,1.11
Tata Motors,493.55,488.00,489.85,484.90,4.95,1.02
Sun Pharma,797.00,788.50,795.25,787.95,7.3,0.93
Kotak Mahindra,"2,062.00","2,039.00","2,056.20","2,037.55",18.65,0.92
IndusInd Bank,"1,195.00","1,185.00","1,187.80","1,177.95",9.85,0.84
Nestle,"18,949.00","18,811.90","18,894.00","18,737.15",156.85,0.84
HDFC Bank,"1,597.85","1,590.10","1,593.95","1,581.45",12.5,0.79
Adani Ports,716.45,713.00,714.25,709.20,5.05,0.71
SBI,535.90,530.75,531.30,527.65,3.65,0.69
HDFC Life,699.90,695.00,696.95,692.30,4.65,0.67
Bajaj Finserv,"17,750.00","17,500.00","17,624.00","17,509.45",114.55,0.65
Tech Mahindra,"1,515.00","1,501.00","1,508.10","1,498.55",9.55,0.64
Titan Company,"2,444.80","2,422.00","2,432.85","2,417.95",14.9,0.62
HCL Tech,"1,187.15","1,178.00","1,183.50","1,176.35",7.15,0.61
Reliance,"2,500.00","2,490.00","2,498.00","2,483.60",14.4,0.58
Coal India,171.40,169.75,170.70,169.75,0.95,0.56
Britannia,"3,658.00","3,639.35","3,649.95","3,629.85",20.1,0.55
UPL,745.00,738.00,740.90,737.05,3.85,0.52
Wipro,657.65,655.00,655.85,652.50,3.35,0.51
Power Grid Corp,185.85,184.25,184.85,183.95,0.9,0.49
Infosys,"1,717.00","1,710.00","1,710.75","1,702.50",8.25,0.48
HUL,"2,430.00","2,420.00","2,422.70","2,411.35",11.35,0.47
TCS,"3,513.25","3,505.00","3,508.10","3,492.25",15.85,0.45
Shree Cements,"29,219.70","28,980.55","29,100.00","28,980.55",119.45,0.41
SBI Life Insura,"1,189.95","1,172.55","1,183.60","1,178.80",4.8,0.41
Axis Bank,757.05,751.40,753.65,750.60,3.05,0.41
NTPC,138.30,137.05,137.20,136.75,0.45,0.33
Bharti Airtel,704.80,699.20,701.25,699.10,2.15,0.31
Bajaj Finance,"7,569.00","7,521.05","7,534.50","7,516.25",18.25,0.24
Maruti Suzuki,"7,819.95","7,743.05","7,749.85","7,734.25",15.6,0.2
Grasim,"1,800.00","1,785.55","1,788.50","1,785.55",2.95,0.17
HDFC,"2,909.00","2,899.05","2,900.10","2,895.90",4.2,0.15
TATA Cons. Prod,834.60,826.55,828.00,826.90,1.1,0.13
Dr Reddys Labs,"4,788.65","4,771.35","4,773.90","4,771.65",2.25,0.05
ONGC,152.85,151.70,152.05,152.00,0.05,0.03
